ID,Entry,OriginalEmotion,ValidatedEmotion
1,her yeni gün bir mutluluk,Happy,Happy
2,gece kimsenin olmadığı sokaklardan geçerken çok korkarım,Fear,Fear
3,gerçekleşemeyen hayaller,Anger,Sadness
4,arkadaş kaybetmek beni üzüyor,Sadness,Sadness
5,insanların çıkarcı olmalarından tiksiniyorum,Disgust,Disgust
6,hiç beklemediğim anda sürprizle karşılaşmak beni şaşırtır,Surprise,Surprise
7,Ailemle tatile çıktığımda çok sevindim.,Happy,Happy
8,Rüyamda babamın öldüğünü gördüğümde çok korkmuştum.,Fear,Fear
9,Daha taksiti bitmemiş bilgisayarımı ben uyurken otobüsten çalınmasına çok öfkelendim.,Anger,Anger
10,Annemin üzüldüğünü gördüğümde üzülüyorum.,Sadness,Sadness
11,Yalan söylenmesinden tiksiniyorum.,Disgust,Disgust
12,Lise arkadaşımın evlendiğini gördüğümde şoka uğradım.,Surprise,Surprise
13,Derslerin hepsini istediğim şekilde verince çok sevindim.,Happy,Happy
14,Rüyalar beni çok korkutuyor.,Fear,Fear
15,İnatçı insanlarla tartışmak beni çok sinirlendiriyor.,Anger,Anger
16,Fenerbahçe'nin yenilmesi içimi acıtıyor.,Sadness,Sadness
17,Yemekten kıl çıkması beni öldürüyor.,Disgust,Disgust
18,Geçerim dediğim dersten kalma durumuna gelmem beni çok şaşırtıyor.,Surprise,Surprise
25,Scuba yaptığım zaman mutlu olurum.Okulda ders iptal olduğu zaman mutlu olurum.,Happy,Happy
26,Doğada zehirli bir hayvan tarafından ısırılmaktan korku duyarım.Pisi pisine ölmekten korku duyarım.,Fear,Fear
27,Mesajlarımın görülüp cevap verilmemesine öfke duyarım.,Anger,Anger
28,Çocukken sahip olduğum köpek aniden öldüğünde çok üzüldüm.,Sadness,Sadness
29,Köpek sahibi insanların köpeklerini dışarı çıkarmamasından tiksiniyorum.,Disgust,Disgust
30,Eski bir arkadaşımla uzun süreden sonra karşılaşınca şaşırırım.,Surprise,Surprise
31,herhangi bir dersi CC üstü bi notla geçersem mutlu oluyorum,Happy,Happy
32,herhangi bir dersten DD altı bir notla kalmaktan korkuyorum,Fear,Fear
33,herhangi bir dersten DD altı bir notla kalırsam öfkeleniyorum,Anger,Anger
34,herhangi bir dersten DD altı bir notla kalırsam üzülüyorum,Sadness,Sadness
35,herhangi bir dersten DD altı bir notla bırakan hocadan tiksiniyorum,Disgust,Disgust
36,herhangi bir dersi CC üstü bir notla geçersem şaşırıyorum,Surprise,Surprise
37,bir hanım arkadaşımızla 45 dakika süren zorlu bir spor müsabakasını galibiyetle kapayınca anlık bir mutluluk yaşadım.,Happy,Happy
38,"en büyük korkum korkunun kendisidir. bence bu çok asilce, peki ya sizce?",Fear,Fear
39,arkadaşım kolamın içerisine mentos atıp kaçtığında ciddi manada köpürmüştüm.,Anger,Anger
40,"digimon da wizardmon un öldüğü sahnede adeta içimden bir şeyler kopmuş, yüreğimden sonsuzluk diyarına gemiler kalkmıştı.",Sadness,Sadness
41,"ne zaman küçük bir sinek görsem beni tiksindirir, midemi bulandırır.",Disgust,Disgust
42,arkadaşım cinsiyetim hakkında yanılmış. bu beni çok şaşırttı.,Surprise,Surprise
43,Özlediğim biriyle görüşmek,Happy,Happy
44,Karşıdan karşıya geçerken otobüsü gördüğümde korkmuştum,Fear,Fear
45,Kandırıldım,Anger,Anger
46,Geçmişte kaçırdığım fırsatlar beni üzüyor,Sadness,Sadness
47,Bir korku filminin afişi,Disgust,Fear
48,Uzun zamandır görmediğim kuzenimin yürüdüğünü görünce,Surprise,Happy
49,Annem kolyenin yenisini alınca çok mutlu oldum.,Happy,Happy
50,Babam hastahaneye kaldırılınca ona bir şey olursa diye çok korktum.,Fear,Fear
51,Benim hakkımda yalan söylendiğini duyunca çok sinirlendim.,Anger,Anger
52,Kendi paralarımı biriktirip aldığım altın kolyemi kaybedince çok üzüldüm.,Sadness,Sadness
53,Otobüsteki adamın burnunu karıştırdığını görünce midem bulandı.,Disgust,Disgust
54,Dom sınavına o kadar çalıştıktan sonra kötü geçtiğini görünce inanamadım.,Surprise,Surprise
55,DOM Lab'ı erken bitti.,Happy,Happy
56,Lab sorusunu yapamayacağım diye çok korktum.,Fear,Fear
57,Sabah servise binerken önüme kaynak yapmasınlar artık.,Anger,Anger
58,Kayahan'ın vefatı beni derinden etkiledi.,Sadness,Sadness
59,Bu hayattan bıktım artık,Disgust,Ambigious
60,Öğrenciler sorduğum bir soruyu yanlış cevapladı.,Surprise,Ambigious
61,Dersler bitince mutlu oluyorum,Happy,Happy
62,Kopya çeker de yakalanırsam diye çok korktum,Fear,Fear
63,Dom ödevi verdiklerinde çok sinirlendim,Anger,Anger
64,Ödevin zor olduğunu görünce öfke yerini hüzne bıraktı,Sadness,Sadness
65,100 alanları görünce tiksiniyorum,Disgust,Disgust
66,ödevden 100 alınca çok şaşırdım,Surprise,Surprise
67,yeğenlerim benim mutluluk kaynağımdır. bana dayı dediklerinde bütün dünya benim olur.,Happy,Happy
68,ablamlar kaza yaptığında çok korktum.,Fear,Fear
69,bayrağıma ve milli değerlerimden birine kötü söz söylendiğinde.,Anger,Anger
70,reddedildiğim zaman.,Sadness,Ambigious
71,domatesten tiksiniyorum .,Disgust,Disgust
72,yazdığım sallama kod çalışınca ağzım açık kaldı.,Surprise,Surprise
